serial,codes,items,abrev,year,trade,imports,exports,reexports,total
3,3,"Animal and vegetable fats, oils and waxes",Oils,2020,DFT,913,1857,70,2840
3,3,"Animal and vegetable fats, oils and waxes",Oils,2012,FZT,224,265,12,501
3,3,"Animal and vegetable fats, oils and waxes",Oils,2013,FZT,195,146,36,377
3,3,"Animal and vegetable fats, oils and waxes",Oils,2014,FZT,167,86,51,304
3,3,"Animal and vegetable fats, oils and waxes",Oils,2015,FZT,88,47,22,157
3,3,"Animal and vegetable fats, oils and waxes",Oils,2016,FZT,56,35,16,107
3,3,"Animal and vegetable fats, oils and waxes",Oils,2017,FZT,82,48,12,142
3,3,"Animal and vegetable fats, oils and waxes",Oils,2018,FZT,72,29,29,130
3,3,"Animal and vegetable fats, oils and waxes",Oils,2019,FZT,47,28,38,113
3,3,"Animal and vegetable fats, oils and waxes",Oils,2020,FZT,57,28,38,123
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2012,DFT,11753,5531,3124,20408
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2013,DFT,11778,6372,3444,21594
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2014,DFT,13614,6569,4057,24240
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2015,DFT,13634,6217,4933,24784
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2016,DFT,13524,6919,4420,24863
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2017,DFT,13485,8735,3312,25532
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2018,DFT,12431,6378,2387,21196
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2019,DFT,12009,6446,2441,20896
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2020,DFT,10785,8955,1956,21696
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2012,FZT,8166,2554,4456,15176
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2013,FZT,7900,2771,4994,15665
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2014,FZT,10567,2871,6509,19947
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2015,FZT,9795,3570,6947,20312
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2016,FZT,10461,4247,6948,21656
