Code,Item,Imports,Exports,Re-Exports,Year,Trade
15,15- Base metals and articles of base metals," 19,879 "," 22,268 "," 2,923 ",2020,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 70,208 "," 3,792 "," 27,537 ",2020,DFT
17,"17- Vehicles, aircraft and vessels"," 28,122 ", 636 ," 22,578 ",2020,DFT
18,"18- Optical, medical equipments and watches"," 9,204 ", 94 ," 2,873 ",2020,DFT
19,"19- Arms, ammunition, parts and accessories", 67 , 9 , 12 ,2020,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 7,257 ", 837 ," 1,404 ",2020,DFT
21,"21- Art work, collectors pieces and antiques", 211 , 97 , 524 ,2020,DFT
1,"01- Live Animals, animals products", 237 , 4 , 65 ,2012,FZT
2,02- Vegetable products , 831 , 156 , 289 ,2012,FZT
3,"03- Animal and vegetable fats, oils and waxes", 224 , 265 , 12 ,2012,FZT
4,"04- Prepared Foodstuffs, beverages and tobacco"," 8,166 "," 2,554 "," 4,456 ",2012,FZT
5,05- Mineral products ," 16,700 "," 1,648 "," 14,545 ",2012,FZT
6,06- Products of chemical and allied industries," 12,598 ", 845 ," 9,429 ",2012,FZT
7,"07- Plastics, rubber and articles thereof"," 5,830 "," 1,021 "," 2,866 ",2012,FZT
8,"08- Raw hides, skins, leather and articles"," 1,199 ", 1 , 551 ,2012,FZT
9,"09- Wood and articles, cork and plating materials", 686 , 16 , 69 ,2012,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,093 ", 150 , 271 ,2012,FZT
11,11- Textiles and textile articles," 6,883 ", 401 ," 2,967 ",2012,FZT
12,"12- Footwear, headgear and umbrellas"," 2,101 ", -   , 946 ,2012,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,430 ", 95 , 977 ,2012,FZT
14,"14- Pearls, precious stones and metals"," 25,817 ", -   ," 21,660 ",2012,FZT
15,15- Base metals and articles of base metals," 12,782 "," 1,666 "," 5,103 ",2012,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 108,831 "," 1,265 "," 95,733 ",2012,FZT
17,"17- Vehicles, aircraft and vessels"," 11,523 "," 1,712 "," 7,656 ",2012,FZT
18,"18- Optical, medical equipments and watches"," 7,875 ", 73 ," 7,131 ",2012,FZT
19,"19- Arms, ammunition, parts and accessories", 2 , -   , -   ,2012,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 3,088 ", 119 ," 2,137 ",2012,FZT
21,"21- Art work, collectors pieces and antiques", 149 , -   , 161 ,2012,FZT
1,"01- Live Animals, animals products", 344 , 8 , 167 ,2013,FZT
2,02- Vegetable products ," 1,014 ", 185 , 399 ,2013,FZT
3,"03- Animal and vegetable fats, oils and waxes", 195 , 146 , 36 ,2013,FZT
4,"04- Prepared Foodstuffs, beverages and tobacco"," 7,900 "," 2,771 "," 4,994 ",2013,FZT
5,05- Mineral products ," 15,489 ", 946 ," 12,677 ",2013,FZT
6,06- Products of chemical and allied industries," 16,021 ", 643 ," 11,523 ",2013,FZT
7,"07- Plastics, rubber and articles thereof"," 5,890 ", 954 ," 3,162 ",2013,FZT
8,"08- Raw hides, skins, leather and articles"," 1,432 ", 2 , 657 ,2013,FZT
9,"09- Wood and articles, cork and plating materials", 692 , 29 , 79 ,2013,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,333 ", 184 , 407 ,2013,FZT
11,11- Textiles and textile articles," 8,355 ", 336 ," 4,515 ",2013,FZT
12,"12- Footwear, headgear and umbrellas"," 2,568 ", -   ," 1,239 ",2013,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,502 ", 128 , 986 ,2013,FZT
14,"14- Pearls, precious stones and metals"," 20,811 ", -   ," 13,355 ",2013,FZT
15,15- Base metals and articles of base metals," 14,275 "," 1,748 "," 7,365 ",2013,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 130,648 "," 1,634 "," 123,369 ",2013,FZT
17,"17- Vehicles, aircraft and vessels"," 13,142 "," 2,461 "," 8,278 ",2013,FZT
18,"18- Optical, medical equipments and watches"," 7,149 ", 89 ," 6,693 ",2013,FZT
19,"19- Arms, ammunition, parts and accessories", 1 , -   , -   ,2013,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 2,996 ", 694 ," 2,048 ",2013,FZT
21,"21- Art work, collectors pieces and antiques", 145 , -   , 97 ,2013,FZT
1,"01- Live Animals, animals products", 583 , 5 , 265 ,2014,FZT
2,02- Vegetable products , 935 , 203 , 418 ,2014,FZT
3,"03- Animal and vegetable fats, oils and waxes", 167 , 86 , 51 ,2014,FZT
4,"04- Prepared Foodstuffs, beverages and tobacco"," 10,567 "," 2,871 "," 6,509 ",2014,FZT
5,05- Mineral products ," 19,336 "," 1,169 "," 12,688 ",2014,FZT
6,06- Products of chemical and allied industries," 17,113 ", 826 ," 12,386 ",2014,FZT
7,"07- Plastics, rubber and articles thereof"," 6,207 ", 984 ," 3,194 ",2014,FZT
8,"08- Raw hides, skins, leather and articles"," 1,644 ", 2 , 715 ,2014,FZT
9,"09- Wood and articles, cork and plating materials"," 1,024 ", 13 , 76 ,2014,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,681 ", 220 , 570 ,2014,FZT
11,11- Textiles and textile articles," 9,702 ", 262 ," 4,775 ",2014,FZT
12,"12- Footwear, headgear and umbrellas"," 3,191 ", -   ," 1,523 ",2014,FZT
